time,x0,x1,speed,h
0,0.6,0.4,0.565685424949238,0
0.05,0.6207691068935867,0.3792308931064133,0.6097433539201682,0
0.1,0.643155798041513,0.35684420195848693,0.657232697277251,0
0.15,0.667286057619858,0.3327139423801419,0.7084207078161692,0
0.2,0.6932956819752756,0.30670431802472436,0.7635954530896608,0
0.25,0.7213310438375671,0.27866895616243303,0.8230674365471958,0
0.3,0.751549916052302,0.24845008394769794,0.8871713449357423,0
0.35000000000000003,0.7841223594691551,0.21587764053084488,0.9562679317953582,0
0.4,0.8192316799826704,0.18076832001732956,1.030746047649234,0
0.45,0.8570754601113347,0.1429245398886653,1.111024828313368,0
0.5,0.89786667092031,0.10213332907968994,1.1975560536408771,0
0.55,0.9418348705453246,0.05816512945467546,1.2908266899751117,0
0.6,0.9892274960625784,0.01077250393742165,1.3913616306195662,0
0.65,1,0,0,0
0.7000000000000001,1,0,0,0
0.75,1,0,0,0
0.8,1,0,0,0
0.85,1,0,0,0
0.9,1,0,0,0
0.9500000000000001,1,0,0,0
1,1,0,0,0
1.05,1,0,0,0
1.1,1,0,0,0
1.1500000000000001,1,0,0,0
1.2,1,0,0,0
1.25,1,0,0,0
1.3,1,0,0,0
1.35,1,0,0,0
1.4000000000000001,1,0,0,0
1.45,1,0,0,0
1.5,1,0,0,0
1.55,1,0,0,0
1.6,1,0,0,0
1.6500000000000001,1,0,0,0
1.7,1,0,0,0
1.75,1,0,0,0
1.8,1,0,0,0
1.85,1,0,0,0
1.9000000000000001,1,0,0,0
1.95,1,0,0,0
2,1,0,0,0
2.05,1,0,0,0
2.1,1,0,0,0
2.15,1,0,0,0
2.2,1,0,0,0
2.25,1,0,0,0
2.3000000000000003,1,0,0,0
2.35,1,0,0,0
2.4,1,0,0,0
2.45,1,0,0,0
2.5,1,0,0,0
2.5500000000000003,1,0,0,0
2.6,1,0,0,0
2.65,1,0,0,0
2.7,1,0,0,0
2.75,1,0,0,0
2.8000000000000003,1,0,0,0
2.85,1,0,0,0
2.9,1,0,0,0
2.95,1,0,0,0
3,1,0,0,0
3.0500000000000003,1,0,0,0
3.1,1,0,0,0
3.15,1,0,0,0
3.2,1,0,0,0
3.25,1,0,0,0
3.3000000000000003,1,0,0,0
3.35,1,0,0,0
3.4,1,0,0,0
3.45,1,0,0,0
3.5,1,0,0,0
3.5500000000000003,1,0,0,0
3.6,1,0,0,0
3.65,1,0,0,0
3.7,1,0,0,0
3.75,1,0,0,0
3.8000000000000003,1,0,0,0
3.85,1,0,0,0
3.9,1,0,0,0
3.95,1,0,0,0
4,1,0,0,0
4.05,1,0,0,0
4.1,1,0,0,0
4.15,1,0,0,0
4.2,1,0,0,0
4.25,1,0,0,0
4.3,1,0,0,0
4.3500000000000005,1,0,0,0
4.4,1,0,0,0
4.45,1,0,0,0
4.5,1,0,0,0
4.55,1,0,0,0
4.6000000000000005,1,0,0,0
4.65,1,0,0,0
4.7,1,0,0,0
4.75,1,0,0,0
4.8,1,0,0,0
4.8500000000000005,1,0,0,0
4.9,1,0,0,0
4.95,1,0,0,0
5,1,0,0,0
5.05,1,0,0,0
5.1000000000000005,1,0,0,0
5.15,1,0,0,0
5.2,1,0,0,0
5.25,1,0,0,0
5.3,1,0,0,0
5.3500000000000005,1,0,0,0
5.4,1,0,0,0
5.45,1,0,0,0
5.5,1,0,0,0
5.55,1,0,0,0
5.6000000000000005,1,0,0,0
5.65,1,0,0,0
5.7,1,0,0,0
5.75,1,0,0,0
5.8,1,0,0,0
5.8500000000000005,1,0,0,0
5.9,1,0,0,0
5.95,1,0,0,0
6,1,0,0,0
6.05,1,0,0,0
6.1000000000000005,1,0,0,0
6.15,1,0,0,0
6.2,1,0,0,0
6.25,1,0,0,0
6.3,1,0,0,0
6.3500000000000005,1,0,0,0
6.4,1,0,0,0
6.45,1,0,0,0
6.5,1,0,0,0
6.55,1,0,0,0
6.6000000000000005,1,0,0,0
6.65,1,0,0,0
6.7,1,0,0,0
6.75,1,0,0,0
6.8,1,0,0,0
6.8500000000000005,1,0,0,0
6.9,1,0,0,0
6.95,1,0,0,0
7,1,0,0,0
7.05,1,0,0,0
7.1000000000000005,1,0,0,0
7.15,1,0,0,0
7.2,1,0,0,0
7.25,1,0,0,0
7.3,1,0,0,0
7.3500000000000005,1,0,0,0
7.4,1,0,0,0
7.45,1,0,0,0
7.5,1,0,0,0
7.55,1,0,0,0
7.6000000000000005,1,0,0,0
7.65,1,0,0,0
7.7,1,0,0,0
7.75,1,0,0,0
7.8,1,0,0,0
7.8500000000000005,1,0,0,0
7.9,1,0,0,0
7.95,1,0,0,0
8,1,0,0,0
8.05,1,0,0,0
8.1,1,0,0,0
8.15,1,0,0,0
8.2,1,0,0,0
8.25,1,0,0,0
8.3,1,0,0,0
8.35,1,0,0,0
8.4,1,0,0,0
8.45,1,0,0,0
8.5,1,0,0,0
8.55,1,0,0,0
8.6,1,0,0,0
8.65,1,0,0,0
8.700000000000001,1,0,0,0
8.75,1,0,0,0
8.8,1,0,0,0
8.85,1,0,0,0
8.9,1,0,0,0
8.950000000000001,1,0,0,0
9,1,0,0,0
9.05,1,0,0,0
9.1,1,0,0,0
9.15,1,0,0,0
9.200000000000001,1,0,0,0
9.25,1,0,0,0
9.3,1,0,0,0
9.35,1,0,0,0
9.4,1,0,0,0
9.450000000000001,1,0,0,0
9.5,1,0,0,0
9.55,1,0,0,0
9.6,1,0,0,0
9.65,1,0,0,0
9.700000000000001,1,0,0,0
9.75,1,0,0,0
9.8,1,0,0,0
9.85,1,0,0,0
9.9,1,0,0,0
9.950000000000001,1,0,0,0
10,1,0,0,0
10.05,1,0,0,0
10.1,1,0,0,0
10.15,1,0,0,0
10.200000000000001,1,0,0,0
10.25,1,0,0,0
10.3,1,0,0,0
10.35,1,0,0,0
10.4,1,0,0,0
10.450000000000001,1,0,0,0
10.5,1,0,0,0
10.55,1,0,0,0
10.6,1,0,0,0
10.65,1,0,0,0
10.700000000000001,1,0,0,0
10.75,1,0,0,0
10.8,1,0,0,0
10.85,1,0,0,0
10.9,1,0,0,0
10.950000000000001,1,0,0,0
11,1,0,0,0
11.05,1,0,0,0
11.1,1,0,0,0
11.15,1,0,0,0
11.200000000000001,1,0,0,0
11.25,1,0,0,0
11.3,1,0,0,0
11.35,1,0,0,0
11.4,1,0,0,0
11.450000000000001,1,0,0,0
11.5,1,0,0,0
11.55,1,0,0,0
11.6,1,0,0,0
11.65,1,0,0,0
11.700000000000001,1,0,0,0
11.75,1,0,0,0
11.8,1,0,0,0
11.85,1,0,0,0
11.9,1,0,0,0
11.950000000000001,1,0,0,0
12,1,0,0,0
12.05,1,0,0,0
12.1,1,0,0,0
12.15,1,0,0,0
12.200000000000001,1,0,0,0
12.25,1,0,0,0
12.3,1,0,0,0
12.35,1,0,0,0
12.4,1,0,0,0
12.450000000000001,1,0,0,0
12.5,1,0,0,0
12.55,1,0,0,0
12.6,1,0,0,0
12.65,1,0,0,0
12.700000000000001,1,0,0,0
12.75,1,0,0,0
12.8,1,0,0,0
12.85,1,0,0,0
12.9,1,0,0,0
12.950000000000001,1,0,0,0
13,1,0,0,0
13.05,1,0,0,0
13.1,1,0,0,0
13.15,1,0,0,0
13.200000000000001,1,0,0,0
13.25,1,0,0,0
13.3,1,0,0,0
13.35,1,0,0,0
13.4,1,0,0,0
13.450000000000001,1,0,0,0
13.5,1,0,0,0
13.55,1,0,0,0
13.6,1,0,0,0
13.65,1,0,0,0
13.700000000000001,1,0,0,0
13.75,1,0,0,0
13.8,1,0,0,0
13.85,1,0,0,0
13.9,1,0,0,0
13.950000000000001,1,0,0,0
14,1,0,0,0
14.05,1,0,0,0
14.1,1,0,0,0
14.15,1,0,0,0
14.200000000000001,1,0,0,0
14.25,1,0,0,0
